source,target,status_code,group,note
/pin.html,/pages/products/pins/index.html,301,frontend-migration,legacy flat URL compatibility
/pins.html,/pages/products/pins/index.html,301,frontend-migration,legacy flat URL compatibility
/plug.html,/pages/products/plugs/index.html,301,frontend-migration,legacy flat URL compatibility
/plugs-square-threaded-plugs-expansion-plugs.html,/pages/products/plugs/expansion-plug.html,301,frontend-migration,legacy flat URL compatibility
/plugs-square-threaded-plugs-hex-socket-threaded-plugs.html,/pages/products/plugs/hex-socket-threaded-plug.html,301,frontend-migration,legacy flat URL compatibility
/plugs-square-threaded-plugs-magnetic-plugs.html,/pages/products/plugs/magnetic-plug.html,301,frontend-migration,legacy flat URL compatibility
/plugs-square-threaded-plugs-pipe-plugs.html,/pages/products/plugs/pipe-plug.html,301,frontend-migration,legacy flat URL compatibility
/plugs-square-threaded-plugs-tapered-plugs.html,/pages/products/plugs/tapered-plug.html,301,frontend-migration,legacy flat URL compatibility
/plugs-square-threaded-plugs-threaded-plugs.html,/pages/products/plugs/threaded-plug.html,301,frontend-migration,legacy flat URL compatibility
/plugs.html,/pages/products/plugs/index.html,301,frontend-migration,legacy flat URL compatibility
/pradako-list-of-standards.html,/pages/standards/list-of-standards.html,301,frontend-migration,legacy flat URL compatibility
/pradako_list_of_standards.html,/pages/standards/list-of-standards.html,301,frontend-migration,legacy flat URL compatibility
/privacy.html,/pages/legal/privacy.html,301,frontend-migration,legacy flat URL compatibility
/products-socket-screws.html,/pages/products/screws/socket-screws.html,301,frontend-migration,legacy flat URL compatibility
/products.html,/pages/products/products.html,301,frontend-migration,legacy flat URL compatibility
/rapidprototype.html,/pages/global-presence/rapidprototype.html,301,frontend-migration,legacy flat URL compatibility
/rapidprotype.html,/pages/global-presence/rapidprototype.html,301,frontend-migration,legacy flat URL compatibility
/research-development.html,/pages/quality-manufacturing/research-development.html,301,frontend-migration,legacy flat URL compatibility
/rivet.html,/pages/products/rivets/index.html,301,frontend-migration,legacy flat URL compatibility
/rivets.html,/pages/products/rivets/index.html,301,frontend-migration,legacy flat URL compatibility
/rnd.html,/pages/quality-manufacturing/research-development.html,301,frontend-migration,legacy flat URL compatibility
/salt_spray_corrosion_protection.html,/pages/technical-information/salt-spray-corrosion-protection.html,301,frontend-migration,legacy flat URL compatibility
/screw.html,/pages/products/screws/index.html,301,frontend-migration,legacy flat URL compatibility
/screws-universal-screws-sems-screws-mounted-washers.html,/pages/products/screws/sems-screws-mounted-washer.html,301,frontend-migration,legacy flat URL compatibility
/screws-universal-screws-torx-with-pins.html,/pages/products/screws/torx-with-pin.html,301,frontend-migration,legacy flat URL compatibility
/screws.html,/pages/products/screws/index.html,301,frontend-migration,legacy flat URL compatibility
/sem-screw.html,/pages/products/screws/sems-screws.html,301,frontend-migration,legacy flat URL compatibility
/sem_screw.html,/pages/products/screws/sems-screws.html,301,frontend-migration,legacy flat URL compatibility
/sfs-list-of-standards.html,/pages/standards/sfs/index.html,301,frontend-migration,legacy flat URL compatibility
/sfs_list_of_standards.html,/pages/standards/sfs/index.html,301,frontend-migration,legacy flat URL compatibility
/socket-screws.html,/pages/products/screws/socket-screws.html,301,frontend-migration,legacy flat URL compatibility
/specifications.html,/pages/specifications/specifications.html,301,frontend-migration,legacy flat URL compatibility
/specifications/aashto/aashto-m164/index.html,/pages/specifications/aashto/aashto-m164.html,301,historical-specification,AASHTO M164
/specifications/aashto/aashto-m232/index.html,/pages/specifications/aashto/aashto-m232m-m232-25.html,301,historical-specification,AASHTO M232M/M232-25
/specifications/aashto/aashto-m253/index.html,/pages/specifications/aashto/aashto-m253.html,301,historical-specification,AASHTO M253
/specifications/aashto/aashto-m291/index.html,/pages/specifications/aashto/aashto-m291.html,301,historical-specification,AASHTO M291
/specifications/aashto/aashto-m292/index.html,/pages/specifications/aashto/aashto-m292m-m292-25.html,301,historical-specification,AASHTO M292M/M292-25
/specifications/aashto/aashto-m293/index.html,/pages/specifications/aashto/aashto-m293.html,301,historical-specification,AASHTO M293
/specifications/aashto/aashto-m314/index.html,/pages/specifications/aashto/aashto-m314-90-2022.html,301,historical-specification,AASHTO M314-90 (2022)
/specifications/asme/asme-b18-21-1/index.html,/pages/specifications/asme/asme-b18-21-1-2009-r2016.html,301,historical-specification,ASME B18.21.1-2009 (R2016)
/specifications/astm/a1099-a1099m/index.html,/pages/specifications/astm/astm-a1099-a1099m.html,301,historical-specification,ASTM A1099/A1099M
/specifications/astm/a181-a181m/index.html,/pages/specifications/astm/astm-a181-a181m.html,301,historical-specification,ASTM A181/A181M
/specifications/astm/a183/index.html,/pages/specifications/astm/astm-a183.html,301,historical-specification,ASTM A183
/specifications/astm/a266-a266m/index.html,/pages/specifications/astm/astm-a266-a266m.html,301,historical-specification,ASTM A266/A266M
/specifications/astm/a336-a336m/index.html,/pages/specifications/astm/astm-a336-a336m.html,301,historical-specification,ASTM A336/A336M
/specifications/astm/a563m/index.html,/pages/specifications/astm/astm-a563m.html,301,historical-specification,ASTM A563M
/specifications/astm/a574m/index.html,/pages/specifications/astm/astm-a574m.html,301,historical-specification,ASTM A574M
/specifications/astm/a693/index.html,/pages/specifications/astm/astm-a693.html,301,historical-specification,ASTM A693
/specifications/astm/astm-a1014-a1014m/index.html,/pages/specifications/astm/astm-a1014-a1014m.html,301,historical-specification,ASTM A1014/A1014M
/specifications/astm/astm-a105/index.html,/pages/specifications/astm/astm-a105-a105m.html,301,historical-specification,ASTM A105/A105M
/specifications/astm/astm-a108/index.html,/pages/specifications/astm/astm-a108.html,301,historical-specification,ASTM A108
/specifications/astm/astm-a1082-a1082m/index.html,/pages/specifications/astm/astm-a1082-a1082m.html,301,historical-specification,ASTM A1082/A1082M
/specifications/astm/astm-a153-a153m/index.html,/pages/specifications/astm/astm-a153-a153m.html,301,historical-specification,ASTM A153/A153M
/specifications/astm/astm-a182/index.html,/pages/specifications/astm/astm-a182-a182m.html,301,historical-specification,ASTM A182/A182M
/specifications/astm/astm-a193-a193m/index.html,/pages/specifications/astm/astm-a193-a193m.html,301,historical-specification,ASTM A193/A193M
/specifications/astm/astm-a194-a194m/index.html,/pages/specifications/astm/astm-a194-a194m.html,301,historical-specification,ASTM A194/A194M
/specifications/astm/astm-a240/index.html,/pages/specifications/astm/astm-a240-a240m.html,301,historical-specification,ASTM A240/A240M
/specifications/astm/astm-a276/index.html,/pages/specifications/astm/astm-a276-a276m.html,301,historical-specification,ASTM A276/A276M
/specifications/astm/astm-a29/index.html,/pages/specifications/astm/astm-a29-a29m.html,301,historical-specification,ASTM A29/A29M
/specifications/astm/astm-a307/index.html,/pages/specifications/astm/astm-a307.html,301,historical-specification,ASTM A307
/specifications/astm/astm-a320-a320m/index.html,/pages/specifications/astm/astm-a320-a320m.html,301,historical-specification,ASTM A320/A320M
/specifications/astm/astm-a325/index.html,/pages/specifications/astm/astm-a325.html,301,historical-specification,ASTM A325
/specifications/astm/astm-a350/index.html,/pages/specifications/astm/astm-a350-a350m.html,301,historical-specification,ASTM A350/A350M
/specifications/astm/astm-a354/index.html,/pages/specifications/astm/astm-a354.html,301,historical-specification,ASTM A354
/specifications/astm/astm-a36-a36m/index.html,/pages/specifications/astm/astm-a36-a36m.html,301,historical-specification,ASTM A36/A36M
/specifications/astm/astm-a394/index.html,/pages/specifications/astm/astm-a394.html,301,historical-specification,ASTM A394
/specifications/astm/astm-a437-a437m/index.html,/pages/specifications/astm/astm-a437-a437m.html,301,historical-specification,ASTM A437/A437M
/specifications/astm/astm-a449/index.html,/pages/specifications/astm/astm-a449.html,301,historical-specification,ASTM A449
/specifications/astm/astm-a453-a453m/index.html,/pages/specifications/astm/astm-a453-a453m.html,301,historical-specification,ASTM A453/A453M
/specifications/astm/astm-a47-a47m/index.html,/pages/specifications/astm/astm-a47-a47m.html,301,historical-specification,ASTM A47/A47M
/specifications/astm/astm-a479/index.html,/pages/specifications/astm/astm-a479-a479m.html,301,historical-specification,ASTM A479/A479M
/specifications/astm/astm-a48-a48m/index.html,/pages/specifications/astm/astm-a48-a48m.html,301,historical-specification,ASTM A48/A48M
/specifications/astm/astm-a489/index.html,/pages/specifications/astm/astm-a489.html,301,historical-specification,ASTM A489
/specifications/astm/astm-a490/index.html,/pages/specifications/astm/astm-a490.html,301,historical-specification,ASTM A490
/specifications/astm/astm-a522/index.html,/pages/specifications/astm/astm-a522-a522m.html,301,historical-specification,ASTM A522/A522M
/specifications/astm/astm-a529/index.html,/pages/specifications/astm/astm-a529-a529m.html,301,historical-specification,ASTM A529/A529M
/specifications/astm/astm-a536/index.html,/pages/specifications/astm/astm-a536.html,301,historical-specification,ASTM A536
/specifications/astm/astm-a540-a540m/index.html,/pages/specifications/astm/astm-a540-a540m.html,301,historical-specification,ASTM A540/A540M
/specifications/astm/astm-a541/index.html,/pages/specifications/astm/astm-a541-a541m.html,301,historical-specification,ASTM A541/A541M
/specifications/astm/astm-a563-a563m/index.html,/pages/specifications/astm/astm-a563-a563m.html,301,historical-specification,ASTM A563/A563M
/specifications/astm/astm-a564/index.html,/pages/specifications/astm/astm-a564-a564m.html,301,historical-specification,ASTM A564/A564M
/specifications/astm/astm-a572/index.html,/pages/specifications/astm/astm-a572-a572m.html,301,historical-specification,ASTM A572/A572M
/specifications/astm/astm-a574/index.html,/pages/specifications/astm/astm-a574.html,301,historical-specification,ASTM A574
/specifications/astm/astm-a576/index.html,/pages/specifications/astm/astm-a576.html,301,historical-specification,ASTM A576
/specifications/astm/astm-a582/index.html,/pages/specifications/astm/astm-a582-a582m.html,301,historical-specification,ASTM A582/A582M
/specifications/astm/astm-a588-a588m/index.html,/pages/specifications/astm/astm-a588-a588m.html,301,historical-specification,ASTM A588/A588M
/specifications/astm/astm-a592/index.html,/pages/specifications/astm/astm-a592-a592m.html,301,historical-specification,ASTM A592/A592M
/specifications/astm/astm-a615-a615m/index.html,/pages/specifications/astm/astm-a615-a615m.html,301,historical-specification,ASTM A615/A615M
/specifications/astm/astm-a638/index.html,/pages/specifications/astm/astm-a638-a638m.html,301,historical-specification,ASTM A638/A638M
/specifications/astm/astm-a668-a668m/index.html,/pages/specifications/astm/astm-a668-a668m.html,301,historical-specification,ASTM A668/A668M
/specifications/astm/astm-a694/index.html,/pages/specifications/astm/astm-a694-a694m.html,301,historical-specification,ASTM A694/A694M
/specifications/astm/astm-a705/index.html,/pages/specifications/astm/astm-a705-a705m.html,301,historical-specification,ASTM A705/A705M
/specifications/astm/astm-a706-a706m/index.html,/pages/specifications/astm/astm-a706-a706m.html,301,historical-specification,ASTM A706/A706M
/specifications/astm/astm-a707/index.html,/pages/specifications/astm/astm-a707-a707m.html,301,historical-specification,ASTM A707/A707M
/specifications/astm/astm-a727/index.html,/pages/specifications/astm/astm-a727-a727m.html,301,historical-specification,ASTM A727/A727M
/specifications/astm/astm-a836/index.html,/pages/specifications/astm/astm-a836-a836m.html,301,historical-specification,ASTM A836/A836M
/specifications/astm/astm-a965/index.html,/pages/specifications/astm/astm-a965-a965m.html,301,historical-specification,ASTM A965/A965M
/specifications/astm/astm-b103/index.html,/pages/specifications/astm/astm-b103-b103m.html,301,historical-specification,ASTM B103/B103M
/specifications/astm/astm-b121/index.html,/pages/specifications/astm/astm-b121-b121m.html,301,historical-specification,ASTM B121/B121M
/specifications/astm/astm-b122/index.html,/pages/specifications/astm/astm-b122-b122m.html,301,historical-specification,ASTM B122/B122M
/specifications/astm/astm-b124/index.html,/pages/specifications/astm/astm-b124-b124m.html,301,historical-specification,ASTM B124/B124M
/specifications/astm/astm-b127/index.html,/pages/specifications/astm/astm-b127.html,301,historical-specification,ASTM B127
/specifications/astm/astm-b134/index.html,/pages/specifications/astm/astm-b134-b134m.html,301,historical-specification,ASTM B134/B134M
/specifications/astm/astm-b139/index.html,/pages/specifications/astm/astm-b139-b139m.html,301,historical-specification,ASTM B139/B139M
/specifications/astm/astm-b150/index.html,/pages/specifications/astm/astm-b150-b150m.html,301,historical-specification,ASTM B150/B150M
/specifications/astm/astm-b151/index.html,/pages/specifications/astm/astm-b151-b151m.html,301,historical-specification,ASTM B151/B151M
/specifications/astm/astm-b16/index.html,/pages/specifications/astm/astm-b16-b16m.html,301,historical-specification,ASTM B16/B16M
/specifications/astm/astm-b160/index.html,/pages/specifications/astm/astm-b160.html,301,historical-specification,ASTM B160
/specifications/astm/astm-b162/index.html,/pages/specifications/astm/astm-b162.html,301,historical-specification,ASTM B162
/specifications/astm/astm-b164/index.html,/pages/specifications/astm/astm-b164.html,301,historical-specification,ASTM B164
/specifications/astm/astm-b166/index.html,/pages/specifications/astm/astm-b166.html,301,historical-specification,ASTM B166
/specifications/astm/astm-b168/index.html,/pages/specifications/astm/astm-b168.html,301,historical-specification,ASTM B168
