Pradako ID,Authority,Standard,Title,Lifecycle,File,Authority Hub,Page Source,Previous Path
PRA-SPC-00024,ASTM,ASTM A706/A706M,Standard Specification for Deformed and Plain Low-Alloy Steel Bars for Concrete Reinforcement,Current-use reference,specifications/astm/astm-a706-a706m.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-a706-a706m/index.html
PRA-SPC-00025,ASTM,ASTM A962/A962M,Standard Specification for Common Requirements for Bolting Intended for Use at Any Temperature from Cryogenic to the Creep Range,Current-use reference,specifications/astm/astm-a962-a962m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00026,ASTM,ASTM B695,Standard Specification for Coatings of Zinc Mechanically Deposited on Iron and Steel,Current-use reference,specifications/astm/astm-b695.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-b695/index.html
PRA-SPC-00027,ASTM,ASTM F16,ASTM Committee F16 on Fasteners,Current-use reference,specifications/astm/astm-f16.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00028,ASTM,ASTM F436/F436M,Standard Specification for Hardened Steel Washers Inch and Metric Dimensions,Current-use reference,specifications/astm/astm-f436-f436m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f436-f436m/index.html
PRA-SPC-00029,ASTM,ASTM F593,"Standard Specification for Stainless Steel Bolts, Hex Cap Screws, and Studs",Current-use reference,specifications/astm/astm-f593.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f593/index.html
PRA-SPC-00030,ASTM,ASTM F594,Standard Specification for Stainless Steel Nuts,Current-use reference,specifications/astm/astm-f594.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f594/index.html
PRA-SPC-00031,ASTM,ASTM F606/F606M,"Standard Test Methods for Determining the Mechanical Properties of Externally and Internally Threaded Fasteners, Washers, Direct Tension Indicators, and Rivets",Current-use reference,specifications/astm/astm-f606-f606m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00032,ASTM,ASTM F788/F788M,"Standard Specification for Surface Discontinuities of Bolts, Screws, Studs, and Rivets, Inch and Metric Series",Current-use reference,specifications/astm/astm-f788-f788m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00033,ASTM,ASTM F812/F812M,"Standard Specification for Surface Discontinuities of Nuts, Inch and Metric Series",Current-use reference,specifications/astm/astm-f812-f812m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00034,ASTM,ASTM F835,"Standard Specification for Alloy Steel Socket Button, Low and Flat Countersunk Head Cap Screws",Current-use reference,specifications/astm/astm-f835.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00035,ASTM,ASTM F837,Standard Specification for Stainless Steel Socket Head Cap Screws,Current-use reference,specifications/astm/astm-f837.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f837/index.html
PRA-SPC-00036,ASTM,ASTM F844,"Standard Specification for Washers, Steel, Plain (Flat), Unhardened for General Use",Current-use reference,specifications/astm/astm-f844.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f844/index.html
PRA-SPC-00037,ASTM,ASTM F879,"Standard Specification for Stainless Steel Socket Button, Low and Flat Countersunk Head Cap Screws",Current-use reference,specifications/astm/astm-f879.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f879/index.html
PRA-SPC-00038,ASTM,ASTM F880,"Standard Specification for Stainless Steel Socket, Square Head, and Slotted Headless-Set Screws",Current-use reference,specifications/astm/astm-f880.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f880/index.html
PRA-SPC-00039,ASTM,ASTM F912,Standard Specification for Alloy Steel Socket Set Screws,Current-use reference,specifications/astm/astm-f912.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00040,ASTM,ASTM F959/F959M,Standard Specification for Compressible-Washer-Type Direct Tension Indicators for Use with Structural Fasteners,Current-use reference,specifications/astm/astm-f959-f959m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00041,ASTM,ASTM F1470,Standard Practice for Fastener Sampling for Specified Mechanical Properties and Performance Inspection,Current-use reference,specifications/astm/astm-f1470.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00042,ASTM,ASTM F1554,"Standard Specification for Anchor Bolts, Steel, 36, 55, and 105-ksi Yield Strength",Current-use reference,specifications/astm/astm-f1554.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f1554/index.html
PRA-SPC-00043,ASTM,ASTM F1789,Standard Terminology for F16 Mechanical Fasteners,Current-use reference,specifications/astm/astm-f1789.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00044,ASTM,ASTM F1852,"Standard Specification for “Twist Off” Type Tension Control Structural Bolt/Nut/Washer Assemblies, Steel, Heat Treated, 120/105 ksi Minimum Tensile Strength",Legacy / Superseded,specifications/astm/astm-f1852.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00045,ASTM,ASTM F1940,Standard Test Method for Process Control Verification to Prevent Hydrogen Embrittlement in Plated or Coated Fasteners,Current-use reference,specifications/astm/astm-f1940.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00046,ASTM,ASTM F1941/F1941M,"Standard Specification for Electrodeposited Coatings on Mechanical Fasteners, Inch and Metric",Current-use reference,specifications/astm/astm-f1941-f1941m.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-f1941-f1941m/index.html
PRA-SPC-00047,ASTM,ASTM F2280,"Standard Specification for “Twist Off” Type Tension Control Structural Bolt/Nut/Washer Assemblies, Steel, Heat Treated, 150 ksi Minimum Tensile Strength",Legacy / Superseded,specifications/astm/astm-f2280.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00048,ASTM,ASTM F2328,"Standard Test Method for Determining Decarburization and Carburization in Hardened and Tempered Threaded Steel Bolts, Screws, Studs, and Nuts",Current-use reference,specifications/astm/astm-f2328.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00049,ASTM,ASTM F2329/F2329M,"Standard Specification for Zinc Coating, Hot-Dip, Requirements for Application to Carbon and Alloy Steel Bolts, Screws, Washers, Nuts, and Special Threaded Fasteners",Current-use reference,specifications/astm/astm-f2329-f2329m.html,specifications/astm/astm-specifications.html,generated_from_master_record,specifications/astm/astm-f2329-f2329m/index.html
PRA-SPC-00050,ASTM,ASTM F2437/F2437M,"Standard Specification for Carbon and Alloy Steel Compressible-Washer-Type Direct Tension Indicators for Use with Cap Screws, Bolts, Anchors, and Studs",Current-use reference,specifications/astm/astm-f2437-f2437m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00051,ASTM,ASTM F2482/F2482M,Standard Specification for Load-Indicating Externally Threaded Fasteners,Current-use reference,specifications/astm/astm-f2482-f2482m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00052,ASTM,ASTM F2882/F2882M,"Standard Specification for Screws, Alloy Steel, Heat Treated, 170 ksi and 1170 MPa Minimum Tensile Strength (Inch and Metric)",Current-use reference,specifications/astm/astm-f2882-f2882m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00053,ASTM,ASTM F3043,"Standard Specification for “Twist Off” Type Tension Control Structural Bolt/Nut/Washer Assemblies, Alloy Steel, Heat Treated, 200 ksi Minimum Tensile Strength",Current-use reference,specifications/astm/astm-f3043.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00054,ASTM,ASTM F3111,"Standard Specification for Heavy Hex Structural Bolt/Nut/Washer Assemblies, Alloy Steel, Heat Treated, 200 ksi Minimum Tensile Strength",Current-use reference,specifications/astm/astm-f3111.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00055,ASTM,ASTM F3125/F3125M,"Standard Specification for High Strength Structural Bolts and Assemblies, Steel and Alloy Steel, Heat Treated, Inch Dimensions 120 ksi, 144 ksi, and 150 ksi Minimum Tensile Strength, and Metric Dimensions 830 MPa and 1040 MPa Minimum Tensile Strength",Current-use reference,specifications/astm/astm-f3125-f3125m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f3125-f3125m/index.html
PRA-SPC-00056,ASTM,ASTM F3148,"Standard Specification for High Strength Structural Bolt Assemblies, Steel and Alloy Steel, Heat Treated, 144ksi Minimum Tensile Strength, Inch Dimensions",Current-use reference,specifications/astm/astm-f3148.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
